BBA: <1,10>; 
BBC: <1,2>; 
BBB: <1,1>; 
BBE: <1,4>; 
BBD: <1,3>; 
BBG: <1,6>; 
BBF: <1,5>; 
BBI: <1,8>; 
BBH: <1,7>; 
BBK: <1,10>; 
BBJ: <1,9>; 
BBM: <1,2>; 
BBL: <1,1>; 
BBO: <1,4>; 
BBN: <1,3>; 
BBQ: <1,6>; 
BBP: <1,5>; 
BBS: <1,8>; 
BBR: <1,7>; 
BBU: <1,10>; 
BBT: <1,9>; 
BBW: <1,2>; 
BBV: <1,1>; 
BBY: <1,4>; 
BBX: <1,3>; 
BCB: <1,6>; 
BCA: <1,5>; 
BCD: <1,8>; 
BCC: <1,7>; 
BCF: <1,10>; 
BCE: <1,9>; 
BCH: <1,2>; 
BCG: <1,1>; 
BCJ: <1,4>; 
BCI: <1,3>; 
BCL: <1,6>; 
BCK: <1,5>; 
BCN: <1,8>; 
BCM: <1,7>; 
BCP: <1,10>; 
BCO: <1,9>; 
BCR: <1,2>; 
BCQ: <1,1>; 
BCT: <1,4>; 
BCS: <1,3>; 
BCV: <1,6>; 
BCU: <1,5>; 
BCX: <1,8>; 
BCW: <1,7>; 
BCY: <1,9>; 
BDA: <1,10>; 
BDC: <1,2>; 
BDB: <1,1>; 
BDE: <1,4>; 
BDD: <1,3>; 
BDG: <1,6>; 
BDF: <1,5>; 
BDI: <1,8>; 
BDH: <1,7>; 
BDK: <1,10>; 
BDJ: <1,9>; 
BDM: <1,2>; 
BDL: <1,1>; 
BDO: <1,4>; 
BDN: <1,3>; 
BDQ: <1,6>; 
BDP: <1,5>; 
BDS: <1,8>; 
BDR: <1,7>; 
BDU: <1,10>; 
BDT: <1,9>; 
BDW: <1,2>; 
BDV: <1,1>; 
BDY: <1,4>; 
BDX: <1,3>; 
BEB: <1,6>; 
BEA: <1,5>; 
BED: <1,8>; 
BEC: <1,7>; 
BEF: <1,10>; 
BEE: <1,9>; 
BEH: <1,2>; 
BEG: <1,1>; 
BEJ: <1,4>; 
BEI: <1,3>; 
BEL: <1,6>; 
BEK: <1,5>; 
BEN: <1,8>; 
BEM: <1,7>; 
BEP: <1,10>; 
BEO: <1,9>; 
BER: <1,2>; 
BEQ: <1,1>; 
BET: <1,4>; 
BES: <1,3>; 
BEV: <1,6>; 
BEU: <1,5>; 
BEX: <1,8>; 
BEW: <1,7>; 
BEY: <1,9>; 
BFA: <1,10>; 
BFC: <1,2>; 
BFB: <1,1>; 
BFE: <1,4>; 
BFD: <1,3>; 
BFG: <1,6>; 
BFF: <1,5>; 
BFI: <1,8>; 
BFH: <1,7>; 
BFK: <1,10>; 
BFJ: <1,9>; 
BFM: <1,2>; 
BFL: <1,1>; 
BFO: <1,4>; 
BFN: <1,3>; 
BFQ: <1,6>; 
BFP: <1,5>; 
BFS: <1,8>; 
BFR: <1,7>; 
BFU: <1,10>; 
BFT: <1,9>; 
BFW: <1,2>; 
BFV: <1,1>; 
BFY: <1,4>; 
BFX: <1,3>; 
BGB: <1,6>; 
BGA: <1,5>; 
BGD: <1,8>; 
BGC: <1,7>; 
BGF: <1,10>; 
BGE: <1,9>; 
BGH: <1,2>; 
BGG: <1,1>; 
BGJ: <1,4>; 
BGI: <1,3>; 
BGL: <1,6>; 
BGK: <1,5>; 
BGN: <1,8>; 
BGM: <1,7>; 
BGP: <1,10>; 
BGO: <1,9>; 
BGR: <1,2>; 
BGQ: <1,1>; 
BGT: <1,4>; 
BGS: <1,3>; 
BGV: <1,6>; 
BGU: <1,5>; 
BGX: <1,8>; 
BGW: <1,7>; 
BGY: <1,9>; 
BHA: <1,10>; 
BHC: <1,2>; 
BHB: <1,1>; 
BHE: <1,4>; 
BHD: <1,3>; 
BHG: <1,6>; 
BHF: <1,5>; 
BHI: <1,8>; 
BHH: <1,7>; 
BHK: <1,10>; 
BHJ: <1,9>; 
BHM: <1,2>; 
BHL: <1,1>; 
BHO: <1,4>; 
BHN: <1,3>; 
BHQ: <1,6>; 
BHP: <1,5>; 
BHS: <1,8>; 
BHR: <1,7>; 
BHU: <1,10>; 
BHT: <1,9>; 
BHW: <1,2>; 
BHV: <1,1>; 
BHY: <1,4>; 
BHX: <1,3>; 
BIB: <1,6>; 
